observed_complaints,hourly_wage,average_handling_minutes,ai_addressable_share,time_reduction,adoption_rate,implementation_cost,annual_operating_cost,success_probability,discount_rate,observed_hours_workload,ai_addressable_complaints,gross_hours_released,expected_hours_released,estimated_annual_capacity_value,annual_net_value,three_year_net_value,roi,npv,payback_years,simulation
250000,24.58505679312851,16.800079468797524,0.451683450317493,0.3003511916198226,0.4564803835973982,902667.2156837858,359064.2116815312,0.7897742737049835,0.1,70000.33111998969,112920.86257937325,9496.501298597379,3423.645062997748,84170.50831331366,-274893.70336821757,-1727348.3257884386,-0.8724598991958732,-1586287.1692140638,inf,1
250000,23.967741777591765,17.7347803621321,0.3159020048597567,0.37638348809401884,0.709434171198626,1656909.0574074716,384304.4292225518,0.5835322102587701,0.1,73894.91817555041,78975.50121493918,8786.127827598255,3637.2609016976708,87176.93006962036,-297127.49915293144,-2548291.554866266,-0.9069226598374608,-2395821.170252102,inf,2
250000,24.708001505438396,17.205586995855004,0.43936878637655397,0.284903560108138,0.7517306321285944,1054335.9792471167,446947.6270076941,0.8367504285158823,0.1,71689.94581606252,109842.19659413848,8973.98478424471,5644.73450204007,139470.1085742061,-307477.518433488,-1976768.5345475806,-0.8253114484838858,-1818987.058146324,inf,3
250000,23.177610581446835,20.239332247558853,0.33978540416903946,0.13249054074799277,0.500287962537848,1392149.2862989032,537142.0983372155,0.8875593713364863,0.1,84330.55103149521,84946.35104225986,3796.4224253458983,1685.745454840003,39071.55169172556,-498070.5466454899,-2886360.926235373,-0.9609749607086523,-2630777.0168748396,inf,4
250000,23.016493960182647,17.93113635876061,0.34045186882184986,0.1891684408902205,0.4837922506179807,1013190.671437792,296793.5892046662,0.7509464377658648,0.1,74713.06816150254,85112.96720546247,4811.726992500439,1748.1103632751415,40235.37161805499,-256558.21758661122,-1782865.3241976257,-0.9365896585870761,-1651212.9856464195,inf,5
250000,25.42704800871061,24.715771341525976,0.4411346452227166,0.3298025060775531,0.617402549687058,1320242.8546831638,416638.4878049262,0.5331409186015903,0.1,102982.38058969156,110283.66130567915,14982.629685108473,4931.720779945928,125399.10103724085,-291239.3867676853,-2193961.01498622,-0.85362874323239,-2044512.103519406,inf,6
250000,25.303514041098037,22.33789534744446,0.4247605885880547,0.29251655130716236,0.7311150394083217,1153990.2823672954,318575.2222146004,0.7194562044799011,0.1,93074.56394768525,106190.14714701367,11564.468266367672,6082.971036496187,153920.54303357392,-164654.6791810265,-1647954.319910375,-0.7811261609331025,-1563462.0991134993,inf,7
250000,23.471726877644766,29.47470655617198,0.3888147169808118,0.25216451090512554,0.6833554325754483,1149609.470484146,361580.162801646,0.7144983623528629,0.1,122811.27731738325,97203.67924520296,12041.065204715129,5879.126396213159,137993.24905106722,-223586.91375057877,-1820370.2117358823,-0.8147202744555594,-1705637.0321027902,inf,8
250000,25.36555503320228,25.966736175999625,0.17647694996883,0.24573932479262606,0.5362033338737571,1191624.4616980674,271183.54781195207,0.5869503673930087,0.1,108194.73406666511,44119.2374922075,4692.11636074961,1476.7251195850163,37457.95228974595,-233725.59552220613,-1892801.2482646857,-0.9439580829716452,-1772865.4242664387,inf,9
250000,22.234651610876906,24.48580372026882,0.2943185415521015,0.291828643837736,0.6805632136829995,1300538.584036309,396648.7916190844,0.66230249237817,0.1,102024.18216778674,73579.63538802537,8762.916265857026,3949.7855966720945,87822.10667966359,-308826.68493942084,-2227018.6388545716,-0.8942108366893974,-2068544.8403469648,inf,10
