cfpb_company_name,complaints,suggested_canonical_company_name,suggested_sec_cik,suggested_ticker,match_method,match_score,confidence_tier,manual_review_required,notes
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",87099,JPMorgan Chase & Co.,,,fuzzy_suggestion,0.28,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Experian Information Solutions Inc.,69862,Capital One Financial Corporation,,,fuzzy_suggestion,0.2926829268292683,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"EQUIFAX, INC.",61755,Bank of America Corporation,,,fuzzy_suggestion,0.42857142857142855,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"CBC Companies, Inc.",1640,Capital One Financial Corporation,,,fuzzy_suggestion,0.4166666666666667,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
LEXISNEXIS,1259,Discover Financial Services,,,fuzzy_suggestion,0.3333333333333333,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
CL Holdings LLC,968,Capital One Financial Corporation,,,fuzzy_suggestion,0.45454545454545453,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Portfolio Recovery Associates, LLC",891,Discover Financial Services,,,fuzzy_suggestion,0.32432432432432434,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
ENCORE CAPITAL GROUP INC.,785,Capital One Financial Corporation,,,fuzzy_suggestion,0.5806451612903226,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Resurgent Capital Services L.P.,672,Capital One Financial Corporation,,,fuzzy_suggestion,0.5,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Block, Inc.",607,Capital One Financial Corporation,,,fuzzy_suggestion,0.25,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Chime Financial Inc,488,Capital One Financial Corporation,,,fuzzy_suggestion,0.375,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Paypal Holdings, Inc",461,Capital One Financial Corporation,,,fuzzy_suggestion,0.46153846153846156,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
MOHELA,433,Bank of America Corporation,,,fuzzy_suggestion,0.46153846153846156,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
NAVY FEDERAL CREDIT UNION,397,American Express Company,,,fuzzy_suggestion,0.34146341463414637,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"CCS Financial Services, Inc.",365,U.S. Bancorp,,,fuzzy_suggestion,0.3333333333333333,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Kriya Capital, LLC",346,Capital One Financial Corporation,,,fuzzy_suggestion,0.5833333333333334,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Bread Financial Holdings, Inc.",316,Truist Financial Corporation,,,fuzzy_suggestion,0.3,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Self Financial Inc.,312,Discover Financial Services,,,fuzzy_suggestion,0.3333333333333333,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"I.C. System, Inc.",293,Truist Financial Corporation,,,fuzzy_suggestion,0.375,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"CAINE & WEINER COMPANY, INC.",267,M&T Bank Corporation,,,fuzzy_suggestion,0.43478260869565216,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
